date,open,high,low,close,volume
2026-02-02 18:45:00+00:00,4677.39990234375,4683.2998046875,4665.7998046875,4679.5,686
2026-02-02 19:00:00+00:00,4679.5,4684.5,4659.10009765625,4669.7001953125,1809
2026-02-02 19:15:00+00:00,4668.5,4676.7998046875,4653.5,4665.89990234375,1422
2026-02-02 19:30:00+00:00,4664.7001953125,4722.89990234375,4659.0,4717.60009765625,2571
2026-02-02 19:45:00+00:00,4718.2001953125,4736.0,4699.10009765625,4707.39990234375,2649
2026-02-02 20:00:00+00:00,4707.39990234375,4723.2998046875,4691.39990234375,4715.89990234375,1820
2026-02-02 20:15:00+00:00,4714.2001953125,4716.2001953125,4673.2001953125,4693.7001953125,2101
2026-02-02 20:30:00+00:00,4694.5,4716.60009765625,4679.60009765625,4703.39990234375,1727
2026-02-02 20:45:00+00:00,4703.2998046875,4706.2998046875,4671.2998046875,4676.2998046875,2186
2026-02-02 21:00:00+00:00,4677.89990234375,4701.10009765625,4667.0,4699.2001953125,1191
2026-02-02 21:15:00+00:00,4700.39990234375,4712.0,4683.7001953125,4705.5,739
2026-02-02 21:30:00+00:00,4705.89990234375,4710.10009765625,4691.0,4693.60009765625,702
2026-02-02 21:45:00+00:00,4693.39990234375,4697.60009765625,4671.60009765625,4680.89990234375,603
2026-02-02 23:00:00+00:00,4691.0,4748.5,4690.2001953125,4743.0,906
2026-02-02 23:15:00+00:00,4742.2998046875,4788.0,4740.0,4761.2001953125,1594
2026-02-02 23:30:00+00:00,4762.2001953125,4775.2998046875,4740.2001953125,4756.10009765625,1235
2026-02-02 23:45:00+00:00,4754.89990234375,4799.89990234375,4754.10009765625,4798.5,1192
2026-02-03 00:00:00+00:00,4798.7001953125,4819.7001953125,4788.10009765625,4808.2998046875,2137
2026-02-03 00:15:00+00:00,4809.89990234375,4851.89990234375,4809.89990234375,4842.7001953125,2493
2026-02-03 00:30:00+00:00,4841.5,4853.7001953125,4835.10009765625,4843.7001953125,1912
2026-02-03 00:45:00+00:00,4843.89990234375,4850.2001953125,4796.0,4802.7001953125,2089
2026-02-03 01:00:00+00:00,4803.10009765625,4853.39990234375,4788.0,4852.2998046875,3259
2026-02-03 01:15:00+00:00,4852.5,4880.10009765625,4845.10009765625,4877.0,3186
2026-02-03 01:30:00+00:00,4875.7001953125,4882.0,4851.7001953125,4867.7998046875,2193
2026-02-03 01:45:00+00:00,4867.2001953125,4872.39990234375,4840.2998046875,4862.7001953125,1885
2026-02-03 02:00:00+00:00,4863.2001953125,4864.0,4811.39990234375,4823.0,2850
2026-02-03 02:15:00+00:00,4822.7998046875,4824.10009765625,4776.60009765625,4796.2998046875,3087
2026-02-03 02:30:00+00:00,4797.0,4811.89990234375,4778.7001953125,4778.7001953125,2402
2026-02-03 02:45:00+00:00,4777.7998046875,4806.5,4768.5,4806.2001953125,1954
2026-02-03 03:00:00+00:00,4806.10009765625,4816.7001953125,4783.89990234375,4790.39990234375,1458
2026-02-03 03:15:00+00:00,4790.7998046875,4802.0,4774.2998046875,4795.7998046875,1436
2026-02-03 03:30:00+00:00,4795.39990234375,4835.0,4792.39990234375,4828.39990234375,1473
2026-02-03 03:45:00+00:00,4827.2998046875,4836.10009765625,4808.60009765625,4831.60009765625,1036
2026-02-03 04:00:00+00:00,4831.0,4848.0,4830.10009765625,4838.2001953125,823
2026-02-03 04:15:00+00:00,4838.2001953125,4841.60009765625,4822.60009765625,4828.0,597
2026-02-03 04:30:00+00:00,4829.0,4848.39990234375,4828.10009765625,4842.7001953125,859
2026-02-03 04:45:00+00:00,4842.5,4848.2998046875,4830.7998046875,4832.60009765625,541
2026-02-03 05:00:00+00:00,4832.7998046875,4844.7998046875,4831.2998046875,4835.89990234375,586
2026-02-03 05:15:00+00:00,4835.89990234375,4865.5,4835.2998046875,4861.89990234375,1237
2026-02-03 05:30:00+00:00,4861.7998046875,4863.10009765625,4838.2001953125,4842.89990234375,1503
2026-02-03 05:45:00+00:00,4842.7998046875,4852.7998046875,4835.0,4846.2998046875,842
2026-02-03 06:00:00+00:00,4848.0,4871.39990234375,4838.0,4865.2998046875,992
2026-02-03 06:15:00+00:00,4864.89990234375,4897.5,4863.2998046875,4893.7001953125,2393
